Combined statistical area,Central City,Geographic Name,Latitude,Longitude,2021 estimate,2020 census
"New York-Newark, NY-NJ-CT-PA Combined Statistical Area","New York, NY",New York,40.7130,-74.0072,23216685,23582649
"Los Angeles-Long Beach, CA Combined Statistical Area","Los Angeles, CA ",Los Angeles,34.0522,-118.2433,18490242,18644680
"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA Combined Statistical Area","Washington, DC","Washington, D.C.",38.9072,-77.0369,9946526,9973383
"Chicago-Naperville, IL-IN-WI Combined Statistical Area","Chicago, IL",Chicago,41.8832,-87.6324,9876339,9986960
"San Jose-San Francisco-Oakland, CA Combined Statistical Area","San Jose, CA ",San Jose,37.3333,-121.9000,9545921,9714023
"Boston-Worcester-Providence, MA-RI-NH-CT Combined Statistical Area","Boston, MA",Boston,42.3581,-71.0636,8430341,8466186
"Dallas-Fort Worth, TX-OK Combined Statistical Area","Dallas, TX",Dallas,32.7758,-96.7967,8255035,8121108
"Houston-The Woodlands, TX Combined Statistical Area","Houston, TX ",Houston,29.7628,-95.3831,7398774,7312270
"Philadelphia-Reading-Camden, PA-NJ-DE-MD Combined Statistical Area","Philadelphia, PA",Philadelphia,39.9500,-75.1667,7366346,7379700
"Atlanta�Athens-Clarke County�Sandy Springs, GA-AL Combined Statistical Area","Atlanta, GA",Atlanta,33.7485,-84.3915,6997351,6930423
"Miami-Port St. Lucie-Fort Lauderdale, FL Combined Statistical Area","Miami, FL ",Miami,25.7751,-80.1947,6841100,6868652
"Detroit-Warren-Ann Arbor, MI Combined Statistical Area","Detroit, MI ",Detroit,42.3329,-83.0478,5424742,5393033
"Phoenix-Mesa, AZ Combined Statistical Area","Phoenix, AZ ",Phoenix,33.4500,-112.0667,4999734,4899104
"Seattle-Tacoma, WA Combined Statistical Area","Seattle, WA ",Seattle,47.6032,-122.3303,4953985,4953421
"Orlando-Lakeland-Deltona, FL Combined Statistical Area","Orlando, FL ",Orlando,28.5383,-81.3789,4291852,4222422
"Minneapolis-St. Paul, MN-WI Combined Statistical Area","Minneapolis, MN",Minneapolis,44.9833,-93.2667,4080232,4078788
"Denver-Aurora, CO Combined Statistical Area","Denver, CO ",Denver,39.7392,-104.9903,3642145,3623560
"Cleveland-Akron-Canton, OH Combined Statistical Area","Cleveland, OH ",Cleveland,41.4822,-81.6697,3615968,3633962
"Portland-Vancouver-Salem, OR-WA Combined Statistical Area","Portland, OR",Portland,45.5200,-122.6819,3285275,3280736
"St. Louis-St. Charles-Farmington, MO-IL Combined Statistical Area","St. Louis, MO",St. Louis,38.627,-90.1994,2914230,2924904
"Charlotte-Concord, NC-SC Combined Statistical Area","Charlotte, NC",Charlotte,35.2238,-80.8411,2864830,2822352
"Salt Lake City-Provo-Ogden, UT Combined Statistical Area","Salt Lake City, UT ",Salt Lake City,40.7500,-111.8833,2746164,2701129
"Sacramento-Roseville, CA Combined Statistical Area","Sacramento, CA ",Sacramento,38.5556,-121.4689,2697399,2680831
"Pittsburgh-New Castle-Weirton, PA-OH-WV Combined Statistical Area","Pittsburgh, PA",Pittsburgh,40.4422,-79.9950,2637506,2657149
"San Antonio-New Braunfels-Pearsall, TX Combined Statistical Area","San Antonio, TX ",San Antonio,29.4167,-98.5000,2620224,2576528
"Columbus-Marion-Zanesville, OH Combined Statistical Area","Columbus, OH ",Columbus,39.9833,-82.9833,2555732,2544048
"Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area","Kansas City, MO",Kansas City,39.0997,-94.5783,2535652,2528644
"Indianapolis-Carmel-Muncie, IN Combined Statistical Area","Indianapolis, IN ",Indianapolis,39.7910,-86.1480,2507944,2492514
"Las Vegas-Henderson, NV Combined Statistical Area","Las Vegas, NV ",Las Vegas,36.1691,-115.1406,2345926,2317052
"Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area","Cincinnati, OH",Cincinnati,39.1037,-84.5136,2318870,2316022
"Raleigh-Durham-Cary, NC Combined Statistical Area","Raleigh, NC ",Raleigh,35.7806,-78.6389,2144608,2106463
"Nashville-Davidson�Murfreesboro, TN Combined Statistical Area","Nashville, TN ",Nashville,36.1667,-86.7833,2143407,2118233
"Milwaukee-Racine-Waukesha, WI Combined Statistical Area","Milwaukee, WI ",Milwaukee,43.0500,-87.9500,2044438,2053232
"Virginia Beach-Norfolk, VA-NC Combined Statistical Area","Virginia Beach, VA",Virginia Beach,36.8516,-75.9792,1895105,1890162
"Jacksonville-St. Marys-Palatka, FL-GA Combined Statistical Area","Jacksonville, FL",Jacksonville,30.3369,-81.6614,1767497,1733937
"Greensboro�Winston-Salem�High Point, NC Combined Statistical Area","Greensboro, NC ",Greensboro,36.0800,-79.8194,1705315,1695306
"Oklahoma City-Shawnee, OK Combined Statistical Area","Oklahoma City, OK ",Oklahoma City,35.4822,-97.5350,1514666,1498149
"Louisville/Jefferson County�Elizabethtown�Bardstown, KY-IN Combined Statistical Area","Louisville, KY",Louisville,38.2500,-85.7667,1512785,1512133
"Greenville-Spartanburg-Anderson, SC Combined Statistical Area","Greenville, SC ",Greenville,34.8444,-82.3856,1508150,1487610
"New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area","New Orleans, LA",New Orleans,29.9518,-90.0746,1498579,1506610
"Hartford-East Hartford, CT Combined Statistical Area","Hartford, CT ",Hartford,41.7658,-72.6734,1480711,1482086
"Grand Rapids-Kentwood-Muskegon, MI Combined Statistical Area","Grand Rapids, MI ",Grand Rapids,42.9655,-85.6702,1429112,1423632
"Memphis-Forrest City, TN-MS-AR Combined Statistical Area","Memphis, TN",Memphis,35.1174,-89.9711,1358842,1360869
"Birmingham-Hoover-Talladega, AL Combined Statistical Area","Birmingham, AL ",Birmingham,33.5250,-86.8130,1350100,1350646
"Fresno-Madera-Hanford, CA Combined Statistical Area","Fresno, CA ",Fresno,36.7317,-119.7859,1326434,1317395
"Harrisburg-York-Lebanon, PA Combined Statistical Area","Harrisburg, PA ",Harrisburg,40.2697,-76.8756,1302621,1295259
